Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Inglaterra,2,1,4,3,2,0,1,1,1,1,2,1,2,50,1,1,1,3,3,3,3,3,3,3,3,3,3,5
Brasil,1,1,4,3,2,0,1,1,1,2,2,2,3,150,1,3,1,2,3,3,3,3,3,3,3,3,3,5
Chile,1,1,4,29,3,0,3,1,1,2,1,2,2,50,3,1,2,3,3,2,4,3,4,1,3,3,3,5
Canada,2,1,4,5,1,0,3,1,1,1,2,2,4,200,1,3,2,4,4,4,3,3,3,4,4,4,4,5
Colombia,2,1,3,26,4,0,3,1,1,1,2,2,3,80,1,3,1,3,3,4,3,3,3,3,3,3,3,5
Paraguay,1,1,4,8,4,0,3,1,1,2,1,2,2,180,1,3,2,3,3,3,3,3,3,3,3,3,3,5
Chile,2,1,3,33,2,0,3,1,1,4,1,2,4,100,1,3,3,3,3,3,3,3,3,2,2,3,3,3
Bolivia,2,1,3,3,1,0,3,1,4,1,2,2,2,35,4,1,2,3,2,2,2,2,3,1,2,1,2,3
España,2,2,4,3,4,0,3,1,1,1,6,1,1,200,1,1,2,5,5,5,3,3,2,2,3,3,3,5
Australia,1,1,2,33,1,0,3,1,2,1,1,2,2,150,1,1,1,3,3,3,3,3,3,2,2,2,3,5
Brasil,2,1,2,33,4,0,3,1,1,1,2,2,2,70,1,1,2,3,3,3,4,3,4,3,2,2,2,5
Colombia,2,1,4,3,2,0,3,1,1,1,2,1,1,50,1,1,1,3,3,3,3,3,3,3,3,3,3,5
Inglaterra,2,1,4,3,2,0,,1,1,2,2,2,3,150,1,3,1,2,3,3,3,3,3,3,3,3,3,5
Chile,1,1,4,2,3,0,3,1,1,2,1,2,2,100,3,1,2,3,3,2,4,3,4,1,3,3,3,5
Canada,1,1,4,5,1,0,3,1,1,1,2,2,3,150,1,3,2,4,4,4,3,3,3,4,4,4,4,5
Chile,2,1,3,26,4,0,3,1,1,2,1,2,2,50,1,3,1,3,3,4,3,3,3,3,3,3,3,5
Uruguay,1,1,4,3,4,0,3,1,1,2,1,2,2,300,1,3,2,3,3,3,3,3,3,3,3,3,3,5
Brasil,1,1,2,33,4,0,3,1,1,1,2,2,2,200,1,3,2,3,3,3,3,3,3,2,2,3,3,5
Argentina,2,1,2,33,4,0,3,1,1,2,6,1,5,300,1,1,2,3,3,3,3,3,3,3,3,3,3,5
Argentina,2,1,2,33,4,0,3,1,1,2,6,1,5,55,1,1,3,2,2,2,3,3,3,2,2,2,3,5
Argentina,2,1,2,33,4,0,3,1,1,2,6,1,5,50,1,1,2,3,3,3,3,3,3,2,2,3,3,5
Bolivia,2,1,2,33,2,0,3,1,1,1,1,1,2,200,1,1,2,3,3,3,3,2,2,2,3,3,3,5
Bolivia,1,1,3,33,2,0,3,1,1,1,1,1,2,300,1,1,2,3,3,3,3,2,2,2,3,3,3,5
Brasil,2,1,3,33,1,0,3,1,1,2,1,1,3,100,1,1,2,3,3,3,2,2,3,3,3,2,3,5
USA,2,1,3,33,1,0,3,2,4,2,1,1,2,70,1,1,2,5,5,5,5,3,2,2,3,3,3,5
Corea del Sur,1,1,3,33,4,0,3,1,1,1,1,1,2,440,1,1,2,2,2,2,2,2,2,2,2,2,2,5
Corea del Sur,2,1,3,33,4,0,3,1,1,1,1,1,2,480,1,1,2,2,2,2,2,2,3,2,2,2,2,5
Corea del Sur,1,1,3,33,4,0,3,1,1,1,1,1,2,400,1,1,2,3,3,3,2,2,3,3,3,3,3,5
Chile,1,1,3,5,1,0,1,1,3,2,1,2,3,200,4,1,2,3,3,2,3,4,2,3,3,2,3,3
Argentina,2,1,3,33,4,0,3,2,4,2,1,2,2,200,1,1,3,2,3,2,2,3,3,2,2,2,2,1
Chile,2,1,3,33,2,0,3,2,4,2,1,2,4,300,2,3,2,2,3,4,2,3,3,2,2,3,3,2
Argentina,2,1,3,33,4,0,3,1,1,2,1,2,8,400,1,1,2,3,3,3,3,2,3,2,2,3,3,3
Argentina,2,1,3,21,4,0,3,1,2,1,1,2,7,300,4,1,2,3,4,4,3,3,4,2,2,2,2,2
Argentina,1,1,3,33,2,0,1,2,3,1,1,2,4,100,2,1,2,3,3,3,3,3,3,2,3,2,3,3
Argentina,2,1,3,33,1,0,3,1,1,1,1,2,7,120,1,1,1,3,3,3,3,4,3,3,2,3,3,3
Chile,1,1,2,33,3,2,3,1,1,2,1,2,3,70,2,1,1,3,3,3,3,2,3,2,3,3,2,2
Chile,2,1,3,33,3,3,1,2,1,3,4,2,4,600,4,1,3,2,3,2,2,3,2,2,3,1,2,2
Chile,2,1,4,33,2,0,3,1,3,2,1,2,6,300,3,1,2,3,3,2,3,1,3,2,2,3,1,2
España,2,2,3,29,4,2,4,1,1,1,1,2,2,400,1,2,2,2,3,1,3,2,3,2,1,3,4,3
España,2,2,3,21,4,3,4,2,1,1,1,2,1,500,1,2,5,4,3,2,4,2,3,2,3,2,4,2
España,2,1,2,2,4,0,4,1,1,1,2,2,3,410,1,3,2,3,3,2,3,5,2,2,3,2,2,5
España,1,2,4,33,4,0,4,1,1,1,1,1,4,305,1,1,2,3,3,3,4,4,3,3,3,3,3,3
Mexico,2,2,3,23,3,0,3,1,4,2,4,2,7,20,1,1,2,3,4,4,4,4,4,3,2,3,3,5
Venezuela,1,1,4,32,3,0,3,1,1,1,2,2,3,160,1,3,2,3,2,3,2,3,3,3,4,3,4,5
USA,2,1,2,31,1,0,3,1,1,2,1,2,3,250,1,3,2,4,3,3,3,3,3,3,3,3,3,2
Argentina,2,5,4,3,2,0,2,1,1,1,2,2,4,160,1,2,2,2,2,2,2,2,2,2,2,2,3,5
Chile,1,2,3,31,2,0,2,1,1,1,3,2,4,150,1,1,2,3,2,3,3,2,3,2,2,2,2,2
Francia,2,5,3,2,2,0,4,1,1,1,2,2,4,150,1,1,2,2,3,3,3,3,3,2,2,2,3,2
Argentina,1,1,3,2,1,0,4,1,1,2,2,2,3,100,1,1,1,2,3,2,2,3,2,2,2,2,2,2
USA,1,1,4,21,1,0,3,1,1,1,3,2,2,150,1,1,2,3,3,3,3,3,3,2,4,3,3,2
Brasil,2,2,2,33,2,0,2,1,1,1,6,1,3,350,1,2,3,2,3,3,2,3,2,3,2,3,2,3
Colombia,2,1,3,33,4,0,3,1,1,2,2,1,4,200,1,3,1,3,2,3,3,3,2,2,3,4,2,3
Portugal,2,1,3,29,1,0,6,1,1,1,2,1,2,400,1,1,2,3,3,3,2,3,3,2,3,2,3,3
Brasil,2,1,3,5,1,0,3,1,1,1,2,1,2,200,1,2,2,3,3,2,3,3,3,3,2,3,2,3
Francia,2,1,3,33,1,0,3,1,1,1,2,2,4,800,2,3,2,3,3,3,3,2,3,2,3,2,2,3
Alemania,1,1,3,33,1,0,3,1,1,2,2,1,3,480,1,3,2,3,3,2,3,3,3,3,3,3,3,3
Argentina,1,2,2,33,2,0,6,1,1,1,1,1,5,200,1,1,1,3,3,3,4,3,4,3,4,3,4,3
España,2,1,3,33,1,0,3,1,1,1,2,1,2,300,1,2,2,3,3,2,3,3,3,2,3,2,3,3
Alemania,2,1,4,33,4,0,3,1,1,2,3,1,7,300,1,3,2,3,2,3,3,3,3,2,2,2,2,2
Alemania,2,2,3,33,3,2,1,2,1,3,1,2,2,180,2,1,2,2,2,2,2,3,2,1,2,2,2,2
Colombia,1,1,4,33,4,0,3,1,1,1,4,1,5,250,1,3,2,3,2,3,3,3,3,2,2,2,1,2
Ecuador,2,1,3,33,4,0,1,1,1,1,1,2,2,190,1,1,3,3,2,2,3,3,3,2,1,2,1,2
Brasil,2,1,3,33,4,0,3,2,4,2,6,1,5,200,2,1,2,3,2,2,2,2,3,2,2,2,2,2
Alemania,2,3,3,11,4,0,1,1,1,1,6,1,2,500,2,3,2,3,2,2,2,3,3,2,2,2,2,2
Alemania,2,1,4,1,1,0,3,1,1,2,2,1,2,500,1,1,2,3,3,2,2,3,3,2,2,2,2,3
Alemania,2,3,4,13,3,0,2,1,1,2,1,1,2,500,1,1,3,2,3,2,2,2,3,3,3,2,2,2
Alemania,1,2,3,1,4,1,2,1,1,2,1,1,3,800,1,1,1,3,3,3,3,2,2,2,2,2,2,2
Alemania,2,2,3,1,2,0,2,1,1,1,1,1,3,800,1,1,2,4,3,3,3,3,3,2,2,2,2,2
Alemania,1,4,3,5,4,0,2,1,1,2,2,1,2,700,2,1,2,3,3,3,2,2,3,3,2,2,1,2
Alemania,2,2,3,8,4,1,2,1,1,1,2,1,3,500,1,1,2,3,3,2,2,2,2,2,2,2,2,2
Alemania,2,2,2,3,2,0,2,1,1,2,2,1,3,700,1,1,2,2,2,2,2,2,2,2,1,2,2,2
Alemania,2,2,3,33,4,0,1,1,1,1,1,1,3,300,1,1,2,3,3,3,2,2,2,2,2,2,2,2
Alemania,1,4,5,33,5,0,2,1,1,2,1,1,2,700,1,3,3,2,2,2,2,2,2,2,2,2,2,2
Canada,2,5,3,33,4,0,3,1,1,2,6,1,3,800,1,3,1,4,4,4,4,4,4,3,3,4,3,2
Canada,1,5,3,8,4,0,3,1,1,2,6,1,3,700,1,1,1,4,4,4,4,4,4,2,2,3,4,3
USA,2,5,3,21,3,0,3,2,4,3,3,2,2,500,1,3,2,3,2,3,3,2,3,1,2,3,3,3
Australia,2,2,4,33,2,0,3,1,1,1,6,1,2,700,1,3,1,3,4,4,3,2,4,2,2,2,2,3
Australia,1,2,3,33,2,0,3,1,1,1,6,1,2,300,1,3,1,4,3,4,4,4,4,1,2,4,2,4
Francia,1,1,3,2,3,0,3,2,4,2,3,2,2,700,1,2,2,4,4,4,4,3,3,1,2,4,3,3
Francia,2,1,4,29,3,0,3,2,4,2,3,2,2,800,1,2,1,4,4,4,4,4,4,1,2,4,3,4
USA,1,1,3,33,1,0,3,1,1,2,6,1,2,700,1,1,2,4,4,4,4,3,4,2,3,3,4,3
Italia,1,1,3,33,4,0,3,2,4,2,6,1,2,500,1,2,2,4,4,4,4,4,4,4,4,4,4,4
España,2,1,3,30,4,0,3,2,4,2,6,1,2,700,1,2,2,3,4,4,3,4,3,2,2,2,3,3
USA,2,2,4,7,3,0,3,1,1,2,6,1,2,600,4,3,4,1,1,1,2,3,2,2,2,2,2,2
Bolivia,1,4,3,2,1,0,3,1,1,2,1,2,2,700,1,3,3,2,2,2,2,2,2,2,2,2,1,2
USA,2,1,3,5,1,0,3,1,1,2,6,2,3,600,1,3,3,2,2,2,2,2,2,2,2,2,2,2
USA,1,5,3,33,1,0,3,1,1,2,6,1,2,500,3,3,4,2,2,2,2,1,1,2,2,1,1,2
España,1,5,3,26,4,0,3,1,1,1,2,1,2,3000,1,1,2,3,3,2,3,3,2,3,3,3,3,2
USA,1,1,3,3,1,0,2,2,4,2,1,2,3,1500,1,1,3,2,2,3,4,3,3,2,2,2,2,2
España,1,2,4,29,2,0,2,1,1,1,6,1,2,5000,2,1,2,2,2,2,3,3,2,2,3,2,4,2
USA,1,1,3,7,4,1,3,1,2,4,1,1,2,5000,2,1,2,3,3,3,2,3,2,2,3,3,3,2
USA,1,5,3,8,3,2,4,1,1,1,3,2,3,7500,1,3,3,3,2,2,4,2,3,2,3,4,3,2
USA,2,2,4,11,2,0,2,1,1,1,6,1,2,5000,1,2,2,2,3,3,3,4,4,2,3,4,4,2
Canada,2,5,3,13,1,0,5,2,4,2,2,2,2,750,2,3,1,2,3,3,2,3,3,2,3,3,2,2
USA,1,2,3,26,2,0,4,1,1,2,6,1,2,5500,1,2,1,3,2,3,4,2,3,3,3,2,2,4
USA,2,5,3,33,4,0,2,1,2,1,1,1,2,3200,1,1,2,4,3,2,3,2,4,3,2,2,2,3
Canada,1,2,3,13,2,0,4,1,1,1,6,1,3,5500,2,3,2,2,3,3,3,2,3,3,2,3,2,3
Colombia,1,3,3,3,2,0,3,1,1,2,2,1,1,175,1,1,1,3,3,3,3,3,3,3,3,3,4,5
España,2,1,4,3,1,0,3,1,1,2,1,2,1,50,1,2,3,4,3,3,3,3,3,3,3,3,3,5
Portugal,1,1,4,33,4,0,3,1,1,2,2,2,2,100,1,3,2,3,3,3,2,2,3,2,2,2,3,5
USA,1,4,2,33,2,2,3,1,1,2,6,1,2,300,1,2,1,4,4,4,4,4,4,3,3,3,3,2
Italia,1,2,4,33,2,0,6,1,1,1,6,1,2,70,1,3,2,3,4,3,3,3,3,2,2,3,3,5
Portugal,1,1,4,29,4,0,3,1,1,1,2,2,1,100,1,1,2,3,3,2,3,3,3,2,2,2,3,5
Portugal,1,1,3,33,4,0,3,1,1,1,1,2,2,100,1,3,1,4,3,3,3,3,3,2,2,3,3,5
Brasil,1,1,4,33,1,0,3,2,4,2,2,2,1,150,1,3,1,3,3,3,3,3,3,3,3,3,3,5
USA,2,2,3,33,4,0,5,1,1,1,1,1,2,200,2,1,1,2,2,3,3,2,3,3,5,3,3,5
USA,2,2,4,33,4,0,5,1,1,1,1,1,2,250,1,1,1,2,2,3,3,3,3,2,2,2,3,3
Francia,1,1,3,33,4,0,3,1,1,2,2,2,2,30,1,3,2,2,2,3,2,2,3,2,3,1,1,1
Francia,1,1,3,5,4,0,3,1,1,2,2,2,7,45,1,3,2,2,3,3,2,2,3,1,2,1,1,1
Holanda,1,2,4,13,4,0,4,1,1,1,2,2,2,100,1,1,1,2,3,2,3,3,3,3,4,3,3,3
Suiza,1,2,4,33,2,0,2,1,1,2,2,2,2,120,1,2,1,3,3,3,3,3,2,2,3,2,3,5
Holanda,1,2,4,29,4,0,4,1,1,2,3,2,3,100,1,1,1,2,3,4,3,3,3,3,3,2,3,3
USA,1,2,3,5,3,0,3,1,1,2,1,1,2,300,1,2,1,3,3,4,3,3,3,3,3,3,4,3
USA,2,2,4,26,3,0,4,1,1,2,1,1,2,200,1,1,1,3,3,3,3,3,3,3,2,3,3,3
USA,1,1,3,33,4,0,3,1,1,2,1,1,2,3000,1,1,1,4,4,3,4,3,3,3,4,3,3,3
USA,2,1,3,33,3,0,3,1,1,2,1,1,2,2000,1,1,2,3,4,3,4,4,4,3,3,3,3,3
USA,2,1,3,33,4,0,3,1,1,2,2,1,2,2500,1,1,1,4,3,4,3,4,4,3,3,3,4,3
USA,2,1,3,33,4,0,3,1,1,2,1,1,2,2000,1,1,1,3,3,3,4,3,4,4,4,4,3,3
USA,1,1,3,33,4,0,3,1,1,2,1,1,2,3500,1,3,2,4,4,3,4,3,3,3,3,3,3,3
USA,2,1,3,33,4,0,3,1,1,2,1,1,2,5000,1,1,1,4,4,3,4,4,3,3,4,3,3,3
USA,1,1,3,33,4,0,3,1,1,2,1,1,2,4000,1,1,1,4,4,3,3,4,4,3,3,3,4,3
USA,2,1,3,33,4,0,3,1,1,2,1,1,2,8000,1,1,2,3,3,3,4,3,3,3,3,4,3,3
USA,1,1,3,33,4,0,3,1,1,2,1,1,2,4000,1,1,1,4,4,4,3,4,3,3,3,4,3,3
USA,1,1,3,33,3,0,3,1,1,2,1,1,2,3000,1,1,1,4,4,4,3,4,3,3,4,3,3,3
Puerto Rico,2,2,4,33,3,3,1,2,4,2,2,2,5,150,1,3,5,2,2,2,2,2,2,2,2,2,2,2
Mexico,2,5,3,33,5,1,5,1,4,4,2,2,2,200,1,2,4,3,2,1,2,2,3,2,1,1,1,1
Argentina,2,1,3,33,1,0,4,2,1,3,2,2,3,120,1,3,2,3,2,2,2,2,2,2,3,2,2,3
Brasil,2,5,3,11,4,0,2,2,4,2,1,2,2,170,1,1,5,3,3,3,3,3,3,2,3,2,2,5
USA,2,5,4,26,3,0,1,1,1,1,6,1,3,150,1,1,2,3,3,3,3,3,3,2,3,3,3,5
Argentina,1,2,3,33,2,0,1,1,1,2,1,2,2,250,1,1,2,3,2,3,4,2,3,3,2,3,3,2
Argentina,2,1,3,33,1,0,1,2,4,2,6,1,3,200,2,1,1,3,3,3,4,4,4,1,2,1,2,5
Chile,2,1,3,33,2,0,1,1,1,2,2,2,4,100,1,1,1,3,3,3,3,4,4,2,2,2,2,2
USA,2,2,4,33,2,0,1,1,1,2,1,2,2,250,1,1,2,3,3,3,3,3,3,3,3,2,2,2
Colombia,2,2,4,33,2,0,3,1,1,1,2,2,2,300,1,1,2,3,3,3,3,3,3,3,2,3,2,3
Bolivia,2,2,1,26,2,0,1,1,1,2,1,2,2,150,2,3,2,2,2,2,3,2,2,2,3,3,3,3
Chile,2,4,4,8,5,0,1,2,1,2,5,1,2,250,1,3,2,2,2,2,3,3,3,1,2,2,2,2
Chile,2,1,4,33,1,0,1,1,1,4,6,1,4,200,1,3,3,2,2,2,2,2,2,1,3,2,2,3
Argentina,2,2,4,1,2,0,1,1,1,1,6,1,4,300,1,1,2,3,3,3,3,3,3,2,3,3,3,3
Argentina,1,2,4,2,2,0,1,1,1,2,6,1,4,200,2,1,1,3,3,3,3,3,3,3,3,3,3,3
Bolivia,2,3,2,26,1,0,1,1,1,2,1,2,3,150,2,3,3,2,2,2,2,2,2,1,2,2,3,3
Ecuador,2,1,3,3,1,0,1,1,1,2,1,1,3,200,2,1,2,3,3,3,3,3,3,3,3,3,3,3
Ecuador,2,1,2,33,1,0,1,1,1,2,1,1,4,300,2,1,1,3,3,3,3,3,3,3,3,3,3,3
Colombia,2,1,3,7,1,0,1,1,1,2,4,1,4,250,1,1,1,2,3,3,2,2,3,3,2,3,3,3
Brasil,2,1,4,33,1,0,1,1,1,2,1,1,4,260,1,3,2,3,3,2,2,3,3,2,2,3,3,2
España,2,2,4,29,2,0,1,1,1,2,1,2,2,100,2,3,2,4,4,4,4,4,4,2,2,2,2,3
España,1,1,4,33,1,0,1,1,1,2,4,1,3,80,1,3,2,3,4,4,4,4,3,2,2,2,2,3
Brasil,1,2,4,33,2,0,1,1,1,2,1,2,2,50,2,1,2,4,4,4,4,4,4,2,3,2,2,3
Brasil,2,1,5,13,2,0,1,1,1,2,1,2,3,120,2,3,3,3,3,2,2,3,3,1,2,1,2,3
Bolivia,2,3,4,33,1,0,2,1,1,1,4,1,3,300,4,1,2,4,4,4,4,3,3,2,3,2,2,4
Argentina,2,1,5,33,1,0,1,1,1,2,1,2,3,120,2,1,2,3,4,2,4,4,3,2,3,3,2,4
Argentina,2,2,4,3,3,2,1,1,3,1,1,2,7,250,4,1,2,4,4,4,4,4,4,1,2,2,2,3
Argentina,2,1,4,1,1,0,5,2,4,4,1,2,1,80,1,3,3,5,5,5,3,3,3,2,2,3,2,3
Argentina,2,5,3,33,1,0,3,2,4,2,1,2,2,100,1,3,5,3,3,3,3,3,3,3,3,3,3,2
Chile,2,1,3,12,3,0,2,2,4,3,4,2,3,150,1,2,3,2,2,2,2,2,2,2,2,2,2,2
Colombia,1,1,3,5,4,0,2,2,4,3,1,2,3,70,1,3,5,2,3,3,3,3,3,2,3,3,2,3
Francia,2,5,3,29,2,0,3,2,4,2,1,2,5,80,1,3,3,2,3,3,2,3,3,2,3,2,2,2
Mexico,2,2,4,5,2,0,1,1,3,2,1,2,2,40,4,1,1,4,4,3,4,3,3,3,2,2,2,3
Italia,1,1,4,2,4,0,3,1,1,1,6,1,3,300,1,3,2,2,3,3,3,4,3,3,3,3,2,3
Italia,2,1,4,25,4,0,3,1,1,1,1,1,3,250,1,1,2,4,3,4,3,3,4,3,4,3,3,3
Italia,1,1,4,2,4,0,3,1,1,3,6,1,3,250,1,3,2,3,3,3,4,3,3,3,4,3,3,3
Mexico,1,2,4,29,2,0,1,1,3,2,1,2,2,240,4,1,2,3,3,3,3,3,2,3,2,2,2,2
Argentina,2,1,4,28,4,0,1,1,2,2,1,2,7,200,4,1,2,3,2,3,3,2,3,3,2,3,3,3
Colombia,1,2,4,30,2,0,1,1,1,2,1,2,4,250,1,3,2,3,3,3,3,3,2,3,3,3,2,2
USA,1,1,3,33,4,0,3,1,1,2,1,2,2,200,1,1,1,2,2,3,3,3,3,3,3,3,5,5
USA,2,1,3,33,2,0,3,2,4,3,3,2,1,300,1,1,2,2,2,3,2,3,3,2,1,2,5,5
USA,2,1,3,33,4,0,2,2,4,2,1,1,1,250,1,1,1,3,3,3,3,3,3,3,2,2,5,5
USA,1,1,3,33,4,0,3,1,1,3,1,1,2,200,1,3,2,3,3,3,3,2,3,2,2,2,2,5
Francia,1,1,3,2,2,0,3,1,1,2,2,2,3,100,1,3,1,3,4,3,3,3,3,2,2,2,2,5
Francia,1,1,3,33,4,0,3,1,4,1,1,2,2,70,1,1,2,3,3,4,3,3,3,2,2,3,3,5
España,2,1,3,5,1,0,2,1,2,3,1,2,2,150,1,1,2,3,3,3,3,3,3,3,3,2,3,2
España,2,1,3,33,1,0,3,2,4,2,2,2,1,200,1,3,2,3,3,2,3,3,2,5,5,3,5,5
Chile,2,1,3,33,1,0,3,1,1,1,3,1,7,250,2,1,2,4,4,3,3,2,2,2,3,3,2,2
USA,2,2,3,33,2,0,1,2,3,2,1,2,2,180,1,3,2,2,2,3,4,3,3,2,3,3,2,2
España,1,2,3,33,4,0,4,2,2,2,2,2,4,150,1,3,2,3,3,2,3,3,2,2,4,3,2,3
España,1,1,4,33,4,0,1,1,1,1,2,1,3,110,2,2,3,2,2,3,2,3,2,2,2,1,3,2
Escocia,2,2,3,33,3,1,1,1,1,2,1,2,7,120,2,3,2,3,3,3,3,3,3,3,2,3,3,2
Alemania,1,2,4,33,4,0,4,2,4,2,1,1,7,160,2,3,2,3,2,1,2,3,2,4,3,3,2,3
Italia,2,2,2,33,2,0,4,2,1,2,1,2,3,120,1,3,2,3,3,3,2,3,2,3,4,2,3,3
Italia,1,2,3,33,2,0,4,2,3,2,2,2,3,170,1,3,2,3,2,2,3,3,4,2,2,3,2,3
Colombia,2,2,4,33,2,0,3,2,1,3,2,2,1,100,1,1,3,3,2,3,3,3,2,3,2,3,3,4
Italia,2,2,2,33,2,1,3,1,1,1,6,1,4,110,2,1,1,3,2,3,3,2,3,2,3,3,3,4
Alemania,1,1,3,33,2,0,3,1,1,1,2,2,6,120,2,1,2,3,3,2,3,2,3,4,3,2,3,2
Francia,1,1,3,33,3,0,3,2,4,2,1,2,2,90,1,1,1,3,3,3,3,4,4,2,3,3,3,4
Colombia,1,2,3,33,3,0,4,2,3,2,2,2,5,120,1,3,2,3,3,3,3,3,3,3,3,3,3,5
Francia,2,2,4,5,3,0,3,1,1,2,2,1,3,300,2,1,2,3,3,3,3,3,4,3,3,3,3,5
Francia,2,1,3,8,2,0,4,1,1,1,1,2,2,250,1,3,2,3,3,2,3,2,2,3,3,2,2,2
Brasil,2,1,3,33,4,0,3,1,1,2,1,2,3,250,1,3,2,3,3,3,3,4,3,3,3,3,3,3
USA,1,4,3,1,4,1,3,1,1,4,6,1,2,200,1,1,2,3,3,4,3,4,4,3,3,3,3,5
Argentina,1,2,3,29,3,0,1,1,1,1,1,1,1,150,2,2,2,3,3,3,3,3,4,3,2,3,3,3
Panama,2,1,3,33,4,0,1,1,1,1,1,2,1,100,2,3,2,3,3,4,3,3,4,3,3,3,3,5
Francia,2,1,3,3,4,0,3,1,1,2,1,1,1,80,1,1,2,2,,3,3,3,3,4,4,3,3,5
Francia,2,1,3,33,2,0,3,1,1,2,2,2,3,100,1,3,1,3,4,2,3,3,3,4,3,3,3,5
Francia,1,2,4,33,3,0,3,1,1,1,1,2,3,25,2,1,2,3,3,4,4,4,4,3,3,3,3,5
Mexico,1,1,3,1,4,0,5,1,1,1,6,1,7,200,3,1,2,3,3,3,3,3,2,2,3,3,2,3
Mexico,2,1,3,9,4,0,3,1,1,2,1,1,3,100,2,3,2,4,3,4,4,4,4,4,3,3,2,3
USA,1,4,3,13,1,0,3,1,1,1,2,1,5,3150,1,2,3,3,3,3,4,2,3,3,3,2,2,3
Alemania,1,1,3,33,1,0,3,1,4,2,1,1,5,100,2,1,3,3,3,3,3,3,3,2,2,2,1,2
Alemania,2,2,4,3,3,2,3,1,1,1,5,1,3,300,1,3,2,3,2,3,3,2,3,2,2,3,2,3
Alemania,2,1,3,33,1,0,3,1,1,1,2,1,3,400,1,3,2,3,3,3,3,3,3,3,2,2,2,3
Venezuela,1,1,3,33,1,0,3,1,1,1,2,1,2,300,1,3,2,3,3,3,3,3,3,3,3,3,2,2
España,2,1,3,33,5,0,3,1,1,1,1,1,2,250,1,3,2,4,4,4,3,3,2,2,2,3,3,3
España,2,1,3,25,1,0,3,1,1,2,2,1,3,300,1,3,2,3,3,3,3,3,3,3,3,3,3,3
Argentina,2,1,3,21,1,0,3,1,1,2,2,1,4,400,1,3,2,3,3,3,3,3,4,2,3,2,2,2
España,1,2,4,5,2,1,3,1,1,1,1,1,5,450,2,1,2,3,3,2,2,2,4,4,4,3,3,3
USA,1,2,2,33,3,0,2,1,1,2,1,2,3,70,2,3,2,3,4,4,2,3,2,3,3,2,2,3
USA,1,1,4,13,3,0,2,1,1,2,1,2,3,80,1,1,1,3,2,2,3,3,2,2,3,1,2,2
España,1,5,3,7,1,0,3,1,1,2,3,2,2,100,2,3,2,3,3,2,3,3,3,2,2,1,2,5
Mexico,1,1,3,13,1,0,6,1,1,3,5,2,3,200,1,1,2,4,4,4,4,4,4,3,2,3,3,3
Ecuador,2,1,3,5,1,0,3,1,2,1,1,2,4,50,2,1,2,3,3,3,3,4,4,2,2,2,3,5
Canada,2,1,3,7,3,0,1,1,1,1,3,1,3,200,1,3,2,3,3,3,3,3,4,3,2,1,3,5
Canada,1,1,3,30,1,0,3,1,1,1,1,2,1,100,1,3,5,4,4,3,3,3,3,2,2,2,2,5
Canada,2,5,3,26,1,0,3,1,1,2,1,2,2,150,1,1,2,3,3,2,3,3,3,2,2,2,2,5
Belgica,2,1,3,11,1,0,3,1,4,2,3,2,1,100,2,3,2,3,3,3,3,4,3,2,3,2,2,5
USA,1,1,3,32,3,0,2,1,1,2,1,2,3,150,1,3,2,3,4,4,3,3,3,2,3,1,2,2
China,1,1,3,33,4,0,3,1,1,2,1,2,2,350,2,1,2,3,3,3,3,3,3,3,3,3,3,5
China,1,1,3,33,4,0,3,1,1,2,1,2,2,350,1,1,2,3,3,3,3,3,3,3,2,2,3,5
China,1,1,3,33,4,0,3,1,1,2,1,2,2,300,1,1,2,3,3,3,3,2,3,2,3,3,3,5
China,1,1,3,33,4,0,3,1,1,2,2,2,2,350,2,1,2,3,3,3,3,3,3,2,2,2,3,5
Argentina,2,2,3,11,2,3,5,1,1,3,2,1,3,80,1,1,2,3,3,2,3,3,3,3,3,2,3,2
Japon,2,2,4,33,3,1,1,1,1,2,5,2,3,600,1,1,2,3,3,3,2,3,3,2,3,3,3,4
USA,2,5,3,33,4,0,1,1,1,1,6,1,2,450,1,1,2,2,3,3,3,2,3,3,3,3,3,3
USA,2,2,2,33,3,0,4,1,1,1,1,2,3,500,1,3,2,4,3,3,3,3,4,3,3,3,4,3
USA,1,1,3,33,5,0,6,1,1,1,2,2,4,600,1,1,1,3,4,4,3,3,3,3,3,3,3,2
USA,1,1,2,33,4,0,6,1,1,1,1,1,2,550,2,1,2,3,3,3,4,3,2,3,3,3,2,3
USA,2,1,3,33,2,0,3,1,1,1,4,2,2,300,1,1,1,4,2,3,3,2,4,3,4,4,4,3
USA,1,1,3,33,2,0,2,1,1,2,4,2,2,400,1,1,2,4,3,4,3,4,3,3,3,4,2,3
Colombia,2,1,3,33,2,0,3,1,1,2,2,1,2,300,1,3,2,3,4,2,3,3,4,3,4,4,4,3
USA,2,2,3,33,3,1,1,2,4,2,3,2,1,200,2,1,5,3,3,3,3,4,3,4,3,3,3,3
Japon,2,2,4,33,2,0,1,2,4,2,3,2,1,250,2,1,2,3,3,4,4,3,3,3,3,3,3,3
