Deppais,Sexo,Estcivil,Instruccion,Profesion,Viajando,Menoresedad,Transporte,Hospedaje,Alojamiento,Alimentacion,Infomraci�n,Organiviaje,Permanecia,Gasto,Visitadestino,Volvervisita,Satisviaje,Hospehilim,Hospeaten,Hospecalipre,Alimenhilim,Alimenaten,Almencalipre,Pistascarreteras,Serpubtransp,Servpublim,Serpubseg,Serpubateme
Colombia,2,1,4,16,2,0,1,1,2,2,3,2,3,300,1,1,2,2,3,4,2,2,3,3,3,2,3,3
Holanda,1,1,3,16,4,0,1,1,4,2,2,2,2,500,1,3,2,3,3,3,3,4,3,3,3,3,3,3
Argentina,2,1,2,12,4,0,3,1,4,4,1,2,0,200,1,3,1,2,3,3,3,3,3,3,3,3,3,3
Holanda,1,1,4,11,4,0,4,1,1,2,3,2,2,100,1,3,2,3,2,3,2,3,3,3,3,3,3,3
Holanda,1,1,3,33,4,0,1,1,1,4,3,2,2,160,1,3,2,2,3,3,4,4,3,3,3,3,3,3
Holanda,1,1,4,33,1,0,3,1,1,1,3,2,2,150,1,3,2,4,3,3,3,3,3,3,3,3,3,3
Holanda,1,1,3,5,4,0,1,1,1,2,1,2,2,500,1,3,2,3,3,3,3,3,3,3,3,3,3,3
Luxemburgo,1,2,4,14,2,0,1,1,1,2,2,2,2,150,1,3,2,4,4,4,4,4,4,3,3,3,3,3
Argentina,1,1,3,5,3,1,6,1,4,1,,2,2,50,1,3,5,2,2,3,1,1,1,4,2,2,2,1
Argentina,2,1,3,29,4,0,3,2,4,3,1,2,3,250,1,1,2,5,5,5,5,5,3,3,3,3,3,3
Alemania,2,2,4,30,2,0,1,1,1,2,2,2,2,150,1,3,2,4,4,3,4,4,4,3,5,5,5,5
Australia,1,1,4,6,4,0,1,1,1,1,1,1,3,400,1,1,1,4,4,4,4,4,4,4,4,4,4,5
Italia,1,2,4,22,2,0,1,1,1,2,3,1,2,250,1,3,2,2,4,5,2,3,3,2,1,2,3,5
Italia,1,2,4,31,2,0,1,1,1,2,2,1,2,250,1,1,2,3,4,3,3,3,2,2,2,3,3,5
Francia,2,2,3,1,2,0,6,1,1,2,2,1,4,130,1,1,2,4,4,4,2,4,3,3,4,3,3,3
Francia,2,1,2,33,1,0,4,1,1,2,2,1,2,150,2,1,2,4,4,4,2,3,3,4,3,4,4,3
Francia,1,2,3,29,2,0,1,1,1,1,1,1,2,400,1,2,2,3,3,2,2,2,5,5,5,5,5,5
Francia,2,2,3,5,2,0,3,1,1,1,2,1,3,150,1,3,2,3,3,3,2,4,3,4,3,4,4,4
Francia,1,1,3,33,1,0,3,2,1,2,2,1,2,200,2,2,2,3,3,4,2,3,4,3,3,3,4,4
Holanda,2,2,4,33,4,0,3,1,1,1,2,1,3,190,2,1,3,3,4,3,4,3,3,3,3,3,3,4
Holanda,2,1,3,33,3,0,3,1,1,2,2,1,2,130,1,1,2,3,3,4,4,4,3,3,4,4,3,3
España,2,2,3,33,2,0,3,1,1,2,2,1,3,160,1,1,2,3,3,4,3,4,3,4,3,4,3,4
Holanda,2,2,3,33,2,0,3,1,1,2,2,1,3,200,1,1,2,4,3,3,2,4,3,3,4,4,4,3
Francia,2,5,3,5,4,0,1,1,1,1,6,1,2,230,1,2,3,3,4,3,4,4,3,3,2,1,3,3
Argentina,2,1,3,12,3,0,1,2,1,2,2,2,1,560,2,3,2,2,2,2,3,3,3,1,2,2,3,1
Argentina,1,1,3,12,3,0,1,2,1,2,2,2,1,400,4,1,1,3,3,3,4,3,3,1,2,2,2,1
Argentina,2,1,3,12,2,0,1,2,1,2,2,2,1,500,4,3,1,2,3,3,4,2,2,1,3,3,3,2
Australia,2,1,4,17,2,0,4,1,1,2,3,1,2,150,1,3,2,4,4,4,2,2,2,2,3,3,3,3
Francia,2,1,3,5,2,0,4,1,1,1,2,2,4,100,1,3,2,3,4,3,3,3,4,2,2,2,3,5
USA,2,1,3,33,3,0,3,1,1,1,6,1,14,250,1,1,1,3,2,5,4,3,3,3,2,3,3,3
Canada,2,2,3,29,2,0,6,1,1,1,6,1,2,180,1,2,2,4,4,4,4,4,4,1,4,1,2,1
Costa Rica,1,4,3,5,3,1,6,1,1,1,2,2,2,200,1,1,2,4,4,4,4,4,4,2,2,3,4,5
Brasil,2,1,3,33,4,0,1,1,1,1,6,1,2,200,2,2,2,4,4,4,4,4,4,4,1,1,1,1
Brasil,2,1,3,14,4,0,6,1,1,1,2,2,2,150,1,1,2,4,4,3,4,4,3,3,5,3,5,5
Mexico,2,2,3,13,3,1,6,1,1,1,6,1,3,100,2,1,2,4,3,3,3,3,3,2,3,3,2,3
USA,2,2,4,25,3,0,1,1,1,1,6,1,2,200,1,1,1,3,3,3,3,3,3,3,3,3,3,3
España,1,2,2,23,2,0,3,1,1,2,3,1,2,200,1,3,2,4,4,3,4,4,3,2,5,2,3,5
Francia,2,1,3,32,2,0,2,1,1,2,3,2,2,40,1,3,2,4,4,4,4,3,4,2,3,3,3,5
Francia,1,1,3,32,2,0,2,1,1,2,3,2,2,40,1,3,2,4,4,4,4,4,4,3,3,3,3,5
Escocia,2,2,4,29,4,0,3,1,1,1,1,1,3,200,1,3,1,3,3,3,3,3,3,3,3,2,2,5
Holanda,1,5,4,32,2,0,3,1,1,3,1,2,3,132,1,3,2,3,3,3,3,3,4,3,4,3,5,5
Uruguay,1,2,3,5,3,0,3,2,1,1,2,1,1,100,1,1,1,3,4,3,3,3,3,3,3,2,3,5
Inglaterra,1,1,3,27,4,0,4,2,1,2,1,1,1,20,2,2,2,3,3,3,4,2,3,3,3,3,3,5
USA,1,1,3,6,4,0,4,2,1,2,1,1,1,20,1,2,1,3,3,3,4,2,3,3,5,3,3,5
Netherlands,2,5,3,33,2,0,6,1,3,3,1,2,3,100,1,3,2,4,4,3,3,3,3,2,2,2,3,3
España,2,2,4,8,2,0,1,1,1,1,6,1,1,150,1,3,2,4,4,3,3,3,3,2,2,2,3,5
Uruguay,2,2,3,18,5,0,4,2,4,2,1,2,1,100,1,1,1,3,4,3,3,3,3,5,5,2,4,5
Canada,1,2,3,33,2,0,5,1,1,3,6,1,2,200,1,3,2,3,3,3,3,3,3,2,3,3,3,3
Irlanda,2,1,4,14,2,0,3,1,1,2,6,1,2,50,2,3,1,3,2,2,2,3,3,3,2,3,3,3
Inglaterra,1,2,3,29,2,0,1,1,1,1,6,1,10,100,1,1,1,4,4,4,4,4,4,3,2,2,3,3
Colombia,1,2,3,33,2,0,1,1,1,1,2,2,6,100,1,1,2,3,3,3,3,3,3,3,3,3,3,3
USA,1,1,4,33,4,0,3,1,1,1,6,1,14,50,1,1,2,3,3,3,3,4,3,3,3,3,3,3
Australia,1,2,4,33,2,0,3,1,1,2,1,1,2,100,1,3,1,3,3,3,3,3,3,3,3,2,3,2
Bolivia,2,1,4,33,2,0,3,1,1,2,6,1,21,40,1,3,2,3,3,3,4,3,3,3,4,4,3,3
Alemania,1,1,2,33,3,0,3,1,1,1,3,2,3,400,1,3,2,2,2,3,2,2,3,2,3,3,3,3
Escocia,2,1,3,12,2,0,3,1,1,1,6,1,2,350,1,3,1,3,3,3,3,3,3,3,3,3,3,3
Australia,1,1,3,33,1,0,1,1,1,1,6,1,2,350,1,1,2,3,3,3,3,3,3,3,3,3,3,3
Suiza,2,2,3,33,2,0,3,1,1,1,6,1,2,500,1,1,2,3,3,3,3,3,3,3,3,4,4,5
España,1,1,3,21,5,1,4,1,1,2,3,1,2,600,1,2,2,3,3,3,4,3,3,1,5,5,5,5
España,1,1,3,11,2,0,3,1,1,1,1,2,3,200,1,3,2,2,3,3,3,3,3,3,3,2,3,5
España,2,1,4,33,2,0,3,1,1,1,1,2,3,200,1,3,1,3,3,3,3,3,4,3,3,2,3,5
Francia,1,1,4,33,2,0,3,1,1,1,3,2,2,350,2,3,2,3,3,3,5,5,5,1,2,5,2,5
Argentina,1,1,3,28,1,0,3,1,1,2,1,2,3,280,1,3,2,4,3,3,3,3,3,3,3,4,4,5
Argentina,2,2,3,29,1,0,3,1,1,1,1,2,3,280,1,3,3,3,3,3,3,3,3,3,4,3,4,1
Argentina,2,2,3,1,1,0,3,1,1,2,2,2,3,280,1,3,3,3,3,3,4,4,3,3,3,2,3,5
Venezuela,1,2,3,33,2,0,2,1,1,1,1,2,5,250,1,1,2,3,3,3,3,4,4,4,3,3,3,5
Venezuela,1,1,3,21,1,0,3,1,1,2,3,2,5,250,1,1,2,3,3,4,4,4,4,4,4,3,3,2
Bolivia,2,1,2,33,1,0,3,1,1,2,1,2,4,100,1,3,2,3,4,4,3,3,3,4,3,3,3,5
Bolivia,2,2,3,33,2,0,4,1,1,2,6,2,0,150,2,3,2,3,3,3,4,4,4,3,3,3,3,2
USA,2,1,3,33,1,0,4,1,1,1,6,2,1,300,1,2,5,2,3,3,3,4,3,1,2,2,3,2
Mexico,2,1,3,29,1,0,4,1,1,2,4,1,2,180,2,2,4,3,4,4,3,3,3,3,3,4,4,2
